RESPONSE_CODE | TIME_TOTAL(s) | POD_ID
200 | 0.347781 | helloweb-687c75f954-6cmxf
200 | 0.586931 | helloweb-687c75f954-8wrm7
200 | 0.347851 | helloweb-687c75f954-8wrm7
200 | 0.586962 | helloweb-687c75f954-6cmxf
200 | 0.589483 | helloweb-687c75f954-8wrm7
200 | 0.001695 | helloweb-687c75f954-8wrm7
200 | 0.002070 | helloweb-687c75f954-6cmxf
200 | 0.347739 | helloweb-687c75f954-9zkxc
200 | 0.352011 | helloweb-687c75f954-6cmxf
200 | 0.006616 | helloweb-687c75f954-8wrm7
200 | 0.001627 | helloweb-687c75f954-9zkxc
200 | 0.002021 | helloweb-687c75f954-9zkxc
200 | 0.587100 | helloweb-687c75f954-8wrm7
200 | 0.347877 | helloweb-687c75f954-8wrm7
200 | 0.587779 | helloweb-687c75f954-8wrm7
200 | 0.001545 | helloweb-687c75f954-9zkxc
200 | 0.587407 | helloweb-687c75f954-8wrm7
200 | 0.002479 | helloweb-687c75f954-6cmxf
200 | 0.587192 | helloweb-687c75f954-9zkxc
200 | 0.001693 | helloweb-687c75f954-8wrm7
200 | 0.587635 | helloweb-687c75f954-9zkxc
200 | 0.002862 | helloweb-687c75f954-8wrm7
200 | 0.586866 | helloweb-687c75f954-6cmxf
200 | 0.589979 | helloweb-687c75f954-6cmxf
200 | 0.002195 | helloweb-687c75f954-9zkxc
200 | 0.001767 | helloweb-687c75f954-9zkxc
200 | 0.587843 | helloweb-687c75f954-6cmxf
200 | 0.002056 | helloweb-687c75f954-9zkxc
200 | 0.347967 | helloweb-687c75f954-6cmxf
200 | 0.587014 | helloweb-687c75f954-9zkxc
200 | 0.001986 | helloweb-687c75f954-9zkxc
200 | 0.347893 | helloweb-687c75f954-9zkxc
200 | 0.347961 | helloweb-687c75f954-9zkxc
200 | 0.011965 | helloweb-687c75f954-8wrm7
200 | 0.001614 | helloweb-687c75f954-8wrm7
200 | 0.622258 | helloweb-687c75f954-8wrm7
200 | 0.587058 | helloweb-687c75f954-9zkxc
200 | 0.002594 | helloweb-687c75f954-8wrm7
200 | 0.347950 | helloweb-687c75f954-6cmxf
200 | 0.002872 | helloweb-687c75f954-6cmxf
200 | 0.005013 | helloweb-687c75f954-6cmxf
200 | 0.004858 | helloweb-687c75f954-9zkxc
200 | 0.587401 | helloweb-687c75f954-6cmxf
200 | 0.001717 | helloweb-687c75f954-6cmxf
200 | 0.006409 | helloweb-687c75f954-8wrm7
200 | 0.002417 | helloweb-687c75f954-9zkxc
200 | 0.588238 | helloweb-687c75f954-6cmxf
200 | 0.586953 | helloweb-687c75f954-9zkxc
200 | 0.586878 | helloweb-687c75f954-8wrm7
200 | 0.586841 | helloweb-687c75f954-9zkxc
200 | 0.001782 | helloweb-687c75f954-8wrm7
200 | 0.586862 | helloweb-687c75f954-9zkxc
200 | 0.347917 | helloweb-687c75f954-6cmxf
200 | 0.002133 | helloweb-687c75f954-9zkxc
200 | 0.587472 | helloweb-687c75f954-8wrm7
200 | 0.586873 | helloweb-687c75f954-8wrm7
200 | 0.347949 | helloweb-687c75f954-9zkxc
200 | 0.348263 | helloweb-687c75f954-9zkxc
200 | 0.348299 | helloweb-687c75f954-8wrm7
200 | 0.001770 | helloweb-687c75f954-9zkxc
200 | 0.587031 | helloweb-687c75f954-8wrm7
200 | 0.001773 | helloweb-687c75f954-9zkxc
200 | 0.001988 | helloweb-687c75f954-6cmxf
200 | 0.347738 | helloweb-687c75f954-8wrm7
200 | 0.347807 | helloweb-687c75f954-8wrm7
200 | 0.592013 | helloweb-687c75f954-6cmxf
200 | 0.587291 | helloweb-687c75f954-6cmxf
200 | 0.001991 | helloweb-687c75f954-8wrm7
200 | 0.352014 | helloweb-687c75f954-9zkxc
200 | 0.348352 | helloweb-687c75f954-8wrm7
200 | 0.586751 | helloweb-687c75f954-8wrm7
200 | 0.586773 | helloweb-687c75f954-8wrm7
200 | 0.003001 | helloweb-687c75f954-9zkxc
200 | 0.347904 | helloweb-687c75f954-6cmxf
200 | 0.586716 | helloweb-687c75f954-6cmxf
200 | 0.347729 | helloweb-687c75f954-9zkxc
200 | 0.001834 | helloweb-687c75f954-9zkxc
200 | 0.586906 | helloweb-687c75f954-6cmxf
200 | 0.001567 | helloweb-687c75f954-9zkxc
200 | 0.586934 | helloweb-687c75f954-9zkxc
200 | 0.002376 | helloweb-687c75f954-8wrm7
200 | 0.347976 | helloweb-687c75f954-8wrm7
200 | 0.001928 | helloweb-687c75f954-8wrm7
200 | 0.586988 | helloweb-687c75f954-9zkxc
200 | 0.001520 | helloweb-687c75f954-6cmxf
200 | 0.348862 | helloweb-687c75f954-8wrm7
200 | 0.348193 | helloweb-687c75f954-6cmxf
200 | 0.587066 | helloweb-687c75f954-9zkxc
200 | 0.002024 | helloweb-687c75f954-8wrm7
200 | 0.588014 | helloweb-687c75f954-8wrm7
200 | 0.348031 | helloweb-687c75f954-9zkxc
200 | 0.001308 | helloweb-687c75f954-6cmxf
200 | 0.001391 | helloweb-687c75f954-9zkxc
200 | 0.001648 | helloweb-687c75f954-8wrm7
200 | 0.347609 | helloweb-687c75f954-6cmxf
200 | 0.001792 | helloweb-687c75f954-8wrm7
200 | 0.587701 | helloweb-687c75f954-9zkxc
200 | 0.587028 | helloweb-687c75f954-9zkxc
200 | 0.587380 | helloweb-687c75f954-9zkxc
200 | 0.349256 | helloweb-687c75f954-8wrm7
200 | 0.587545 | helloweb-687c75f954-9zkxc
200 | 0.587522 | helloweb-687c75f954-8wrm7
200 | 0.347781 | helloweb-687c75f954-6cmxf
200 | 0.348465 | helloweb-687c75f954-9zkxc
200 | 0.347955 | helloweb-687c75f954-9zkxc
200 | 0.350952 | helloweb-687c75f954-8wrm7
200 | 0.588995 | helloweb-687c75f954-9zkxc
